id,FOLIO,id,TIPO DE EVENTO,HOMOLOGACIÓN_TIPO DE EVENTO,TIPO DE EVENTO 2,FECHA EVENTO,HORA RECEPCION,HORA DESPACHO,HORA ARRIBO,ZONA,SECTOR,CUADRANTE,ALCALDÍA,LATITUD Y,LONGITUD X,CARPETA DE INVESTIGACION,ORIGEN,MOVIL,CAUSA,FALLECIDOS,LESIONADOS,DETENIDOS,ARMA DE FUEGO INVOLUCRADA,CALIBRE ARMA DE FUEGO,ARMA DE BLANCA INVOLUCRADA,LUGAR LOCALIZACION CADAVER,AUTOMOVIL INVOLUCRADO,MOTOCICLETA INVOLUDRADA,DROGAS INVOLUDRADAS,OBSERVACIONES
17,C2O/20220830/00178,17,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,30/08/2022,15:20:26,15:20:48,15:24:10,ZONA ORIENTE,POLICIA AUXILIAR-QUETZAL,O-1.7.4,IZTAPALAPA,19.35056771,-99.01884303,PENDIENTE,PERSONAL DE LA POLICÍA AUXILIAR INFORMÓ ,AGRESION DIRECTA,ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,HOSPITAL,NO,NO,NO,
18,C5/20220831/03969,18,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,31/08/2022,21:05:34,21:05:57,21:09:54,ZONA NORTE,CUATEPEC,N-1.2.20,GUSTAVO A. MADERO,19.537899,-99.139029,CI-FIEDH/2/UI-1C/D/00287/08-2022,LLAMADA DEL 911,AGRESION DIRECTA,ARMA DE FUEGO,2,,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,SI,SI,NO,
19,C5/20220831/01627,19,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,31/08/2022,12:36:49,12:37:40,12:38:25,ZONA NORTE,BUENAVISTA,C-1.4.11,CUAUHTÉMOC,19.44824,-99.14334,CI-FIEDH/UI-1C/D/00286/08-2022,LLAMADA DEL 911,AGRESION DIRECTA,ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VEHÍCULO,SI,NO,NO,
20,C2N/20220831/00111,20,HALLAZGO DE CADÁVER,HALLAZGO DE CADÁVER,HOMICIDIO OTROS,31/08/2022,16:47:36,16:47:50,16:52:48,ZONA NORTE,TLACOTAL,N-2.3.4,IZTACALCO,19.39865,-99.08917,CI-FIEDH/D/UI-1S/D/00200/08-2022,BOTÓN DE AUXILIO,AGRESION DIRECTA,ETIOLOGÍA A DETERMINAR,1,,,NO,NA,NO,DOMICILIO,NO,NO,NO,
21,C5/20220901/03901,21,HOMICIDIO DOLOSO POR ARMA BLANCA,HOMICIDIO POR ARMA BLANCA,HOMICIDIO ARMA BLANCA,01/09/2022,21:04:01,21:04:20,21:06:51,ZONA ORIENTE,MIXQUIC,O-3.1.6,TLÁHUAC,19.26933,-98.99426,PENDIENTE,LLAMADA DEL 911,AGRESION DIRECTA,ARMA BLANCA,1,,,NO,NA,SI,NO ESPECIFICADO,NO,NO,NO,
22,C5/20220901/00161,22,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,01/09/2022,00:58:49,00:59:12,01:02:04,ZONA NORTE,ARENAL,N-3.1.4,VENUSTIANO CARRANZA,19.423307,-99.071049,CI-FIEDH/2/UI1C/D/00288/09-2022,LLAMADA DEL 911,AGRESION DIRECTA,ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VEHÍCULO,SI,NO,NO,
23,C5/20220902/02235,23,HALLAZGO DE CADÁVER,HALLAZGO DE CADÁVER,HOMICIDIO OTROS,02/09/2022,13:20:00,13:19:03,13:24:57,ZONA ORIENTE,TEOTONGO,O-1.8.12,IZTAPALAPA,19.34455612,-98.98029654,CI-FIEDH/2/UI-1C/D/00291/09-2022,LLAMADA DEL 911,AGRESION DIRECTA,MUERTE POR ETIOLOGÍA A DETERMINAR CON SIGNOS DE VIOLENCIA,1,,,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NO,NO,NO,
24,C5/20220901/04539,24,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,01/09/2022,23:03:30,23:03:48,23:06:49,ZONA NORTE,CUCHILLA,N-1.3.3,GUSTAVO A. MADERO,19.46318,-99.11582,CI-FIEDH/2/UI-1C/D/00290/09-2022,LLAMADA DEL 911,AGRESION DIRECTA,ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,SI,NO,
25,C5/20220903/01647,25,HOMICIDIO DOLOSO POR ARMA BLANCA,HOMICIDIO POR ARMA BLANCA,HOMICIDIO ARMA BLANCA,03/09/2022,07:03:27,07:03:49,07:06:07,ZONA ORIENTE,OASIS,O-1.5.12,IZTAPALAPA,19.3766,-99.02339,CI-FIEDH/D/UI-1S/D/00207/09-2022,LLAMADA DEL 911,AGRESION DIRECTA,ARMA BLANCA,1,,,NO,NA,SI,VIA PUBLICA,NO,NO,NO,SE LE DIOCONOCIMIENTO A LA AGENCIA ESPECIALIZADA EN FEMENICIDIOS
26,C5/20220903/00011,26,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,03/09/2022,00:01:25,00:02:42,00:05:27,ZONA NORTE,BALBUENA,N-3.4.9,VENUSTIANO CARRANZA,19.408776,-99.124546,C1-FIVC/UAT-VC-3/UI-1S/D/03253/09-2022,LLAMADA DEL 911,AGRESION DIRECTA,ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,NO,NO,
27,C5/20220904/02910,27,HOMICIDIO POR CAIDA,HOMICIDIO DOLOSO POR OTRAS CAUSAS,HOMICIDIO OTROS,04/09/2022,10:31:07,10:31:21,10:32:24,ZONA CENTRO,ROMA,C-1.7.5,CUAUHTÉMOC,19.411573,-99.173654,CI-FIEDH/2/UI-1C/D/00295/09-2022,LLAMADA DEL 911,NO ESPECIFICADO,CAIDA,1,,,NO,NA,NO,DOMICILIO,NO,NO,NO,
28,C5/20220904/02878,28,HOMICIDIO DOLOSO POR ARMA BLANCA,HOMICIDIO POR ARMA BLANCA,HOMICIDIO ARMA BLANCA,04/09/2022,10:18:19,10:23:59,10:24:03,ZONA ORIENTE,SANTA CRUZ,O-1.7.2,NO ESPECIFICADO,19.36610008,-99.03266585,CI-FIEDH/2/UI-1C/D/00294/09-2022,RADIO,AGRESION DIRECTA,ARMA BLANCA,1,,,NO,NA,SI,DOMICILIO,NO,NO,NO,
29,C5/20220904/01859,29,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,04/09/2022,04:28:45,04:34:13,04:44:50,ZONA ORIENTE,CHURUBUSCO/PORTALES,O-1.2.9,IZTAPALAPA,19.373307,-99.122499,CI-FIEDH/2/UI-1C/D/00293/09-2022,RADIO,AGRESION DIRECTA,ARMA BLANCA,1,,,SI,NO ESPECIFICADO,NO,HOSPITAL,NO,NO,NO,
30,C5/20220904/00799,30,HOMICIDIO DOLOSO POR ARMA BLANCA,HOMICIDIO POR ARMA BLANCA,HOMICIDIO ARMA BLANCA,04/09/2022,01:46:39,01:47:41,01:50:19,ZONA ORIENTE,ABASTO-REFORMA,O-1.1.13,IZTAPALAPA,19.366372,-99.065942,CI-FIEDH/2/UI-1C/D/00292/09-2022,LLAMADA DEL 911,AGRESION DIRECTA,ARMA DE FUEGO,1,,,SI,9MM,SI,VIA PUBLICA,NO,SI,NO,
31,C5/20220906/01643,31,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,06/09/2022,12:45:16,12:50:55,12:52:15,ZONA NORTE,QUIROGA,N-1.6.10,GUSTAVO A. MADERO,19.493444,-99.102108,CI-FEIDH/2/UI-1C/D/00296/09-2022,RADIO,ROBO A AUTOMOVILISTA,PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VEHÍCULO,SI,NO,NO,
32,C5/20220908/04119,32,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,08/09/2022,21:50:29,21:50:57,21:51:09,ZONA ORIENTE,TEZONCO,O-1.9.10,IZTAPALAPA,19.29384,-99.07365,CI-FIEDH/2/UI-1C/D/00298/09-2022,LLAMADA DEL 911,AGRESION DIRECTA,ARMA DE FUEGO,1,1,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,NO,NO,
33,C5/20220908/01506,33,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,08/09/2022,12:12:18,12:12:28,12:16:21,ZONA NORTE,LINDAVISTA,N-1.4.9,GUSTAVO A. MADERO,19.47721,-99.13738,CI-FEIDF/D/UI-3/S/D/00213/09-2022,RADIO,NO ESPECIFICADO,ARMA DE FUEGO,1,,,SI,9MM,NO,DOMICILIO,NO,NO,NO,TOMÓ CONOCIMIENTO A LA FISCALÍA ESPECIALIZADA DE FEMINICIDIO
34,C5/20220908/00044,34,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,08/09/2022,00:15:18,00:16:13,00:17:37,ZONA CENTRO,TLATELOLCO,C- 1.8.5,CUAUHTÉMOC,19.46017148,-99.13784233,CI-FIEDH/2/UI-1C/D/00298/09-2022,LLAMADA DEL 911,AGRESION DIRECTA,ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VEHÍCULO,NO,NO,NO,
35,C5/20220909/00228,35,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,09/09/2022,01:09:38,01:09:47,01:11:43,ZONA CENTRO,MORELOS,C-1.6.5,CUAUHTÉMOC,19.444472,-99.1254146,CI-FIEDH/2/UI-1C/D/00300/09-2022,LLAMADA DEL 911,AGRESION DIRECTA,ARMA DE FUEGO,1,1,,SI,NO ESPECIFICADO,NO,DOMICILIO,NO,NO,NO,
36,C5/20220909/00184,36,HALLAZGO DE CADÁVER,HALLAZGO DE CADÁVER,HOMICIDIO OTROS,09/09/2022,00:55:06,00:55:18,00:58:30,ZONA SUR,DEL VALLE,S-1.1.2,BENITO JUÁREZ,19.370003,-99.17323,CI-FIEDH/2/UI-1C/D/00299/09-2022,LLAMADA DEL 911,NO ESPECIFICADO,NO ESPECIFICADO,1,,,NO,NA,SI,DOMICILIO,NO,NO,NO,
37,C5/20220910/04317,37,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,10/09/2022,17:38:41,17:39:31,17:41:50,ZONA ORIENTE,OASIS,O-1.5.14,IZTAPALAPA,19.37603,-99.038001,CI-FIEDH/2/UI1C/D/00301/09-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,1,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,NO,NO,
38,C2O/20220911/00247,38,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,11/09/2022,16:42:31,16:43:01,16:44:43,ZONA ORIENTE,OASIS,O-1.5.13,IZTAPALAPA,19.37603,-99.038001,CI-FIEDH/2/UI-1C/D/00308/09-2022,RADIO,RIÑA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,1,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,NO,NO,
39,C5/20220912/04319,39,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,12/09/2022,22:16:03,22:16:27,22:18:19,ZONA ORIENTE,CHURUBUSCO,O-1.2.10,IZTAPALAPA,19.37036,-99.13066,CI-FIEDH/2/UI-1C/D/00303/09-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,NO,NO,
40,C5/20220913/03384,40,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,13/09/2022,19:46:32,19:48:11,19:48:41,ZONA NORTE,TLACOTAL,N-1.5.1,IZTACALCO,19.395714,-99.111079,CI-FIEDH/2/UI-1C/D/00304/09-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,.40MM,NO,VIA PUBLICA,NO,SI,NO,
41,C5/20220914/02404,41,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,14/09/2022,15:27:42,15:28:24,15:33:36,ZONA ORIENTE,QUETZAL,O-1.6.6,IZTAPALAPA,19.329349,-99.022721,CI-FIEDH/UI-1C/D/00306/09-2022,C2 ORIENTE EMITIÓ LA EMERGENCIA ,AGRESIÓN DIRECTA/BALA PERDIDA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,2,,SI,NO ESPECIFICADO,NO,VEHÍCULO,SI,SI,NO,
42,C5/20220914/02184,42,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,14/09/2022,14:35:44,14:36:35,14:55:17,ZONA SUR,NAPOLES,S-1.2.8,BENITO JUÁREZ,19.385173,-99.18302,CI-FIEDH/2/UI-1C/D/00305/09-2022,C-2 SUR EMITIÓ LA EMERGENCIA,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,.9MM,NO,VIA PUBLICA,SI,NO,NO,
43,C5/20220915/04598,43,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,15/09/2022,21:02:09,21:02:41,21:05:49,ZONA ORIENTE,ABASTO-REFORMA,O-1.1.7,IZTAPALAPA,19.384072,-99.075861,CI-FIEDH/2/UI-1C/D/00307/09-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,SI,NO,
44,C5/20220916/03738,44,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,16/09/2022,07:33:01,07:33:14,07:35:53,ZONA NORTE,IZTACCÍHUATL,N-2.1.2,IZTACALCO,19.393359,-99.130515,CI-FIIZC/IZC-3/UI-2 C/D/00588/09-2022,LLAMADA DEL 911,AGRESIÓN DIRECTA /BALA PERDIDA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,1,1,SI,.9MM,NO,VIA PUBLICA,NO,NO,NO,
45,C5/20220917/03411,45,HALLAZGO DE CADÁVER,HALLAZGO DE CADÁVER,HOMICIDIO OTROS,17/09/2022,17:55:09,18:00:44,18:00:47,ZONA ORIENTE,ABASTO-REFORMA,O-1.1.1,IZTAPALAPA,19.37886434,-99.09424059,CI-FIEDH/2/UI-1C/D/00308/09-2022,RADIO,AGRESION DIRECTA,ETIOLOGÍA A DETERMINAR,1,,,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,VIA PUBLICA,NO,NO,NO,
46,C5/20220917/01056,46,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,17/09/2022,04:56:00,04:56:30,04:58:51,ZONA ORIENTE,MIXQUIC,O-3.1.8,TLÁHUAC,19.2383011,-98.9996437,CI-FITLH/TLH-2/UI-2C/D/00173/09-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,1,2,SI,22MM,NO,VIA PUBLICA,NO,SI,NO,
47,C5/20220918/01983,47,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,18/09/2022,07:51:04,07:52:59,07:56:09,ZONA NORTE,LINDAVISTA,N-1.4.15,GUSTAVO A. MADERO,19.502187,-99.117182,FIEDH/2/UI-1C/D/00309/09-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,NO,NO,
48,C5/20220919/06009,48,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,19/09/2022,17:54:46,17:55:19,17:56:25,ZONA NORTE,TLACOTAL,N-2.3.7,IZTACALCO,19.389062,-99.10203,CI-FIEDH/2/UI-1C/D/00312/09-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,1,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,SI,NO,
49,C5/20220919/03815,49,HOMICIDIO DOLOSO POR ARMA BLANCA,HOMICIDIO POR ARMA BLANCA,HOMICIDIO ARMA BLANCA,19/09/2022,14:26:22,14:26:58,14:31:07,ZONA NORTE,MERCED BALBUENA,N-3.4.1,VENUSTIANO CARRANZA,19.413051,-99.117785,CI-FIEDH/2/UI-1C/D/00311/09-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR ARMA BLANCA,1,,,NO,NA,SI,DOMICILIO,NO,NO,NO,
50,C5/20220919/00574,50,HOMICIDIO DOLOSO POR ARMA BLANCA,HOMICIDIO POR ARMA BLANCA,HOMICIDIO ARMA BLANCA,19/09/2022,05:14:21,05:14:31,05:17:09,ZONA NORTE,PRADERA,N-1.5.8,GUSTAVO A. MADERO,19.48238,-99.07163,CI-FIEDH/2/UI-1C/D/00310/09-2022,LLAMADA DEL 911,RIÑA,LESIÓN POR ARMA BLANCA,1,,,NO,NA,SI,VIA PUBLICA,SI,NO,NO,
51,C5/20220920/03172,51,HALLAZGO DE CADÁVER,HALLAZGO DE CADÁVER,HOMICIDIO OTROS,20/09/2022,16:10:53,16:11:08,16:17:18,ZONA NORTE,ARAGÓN,N-1.1.9,GUSTAVO A. MADERO,19.458831,-99.098154,CI-FEIDF/D/UI-3S/D/00223/09-2022,LLAMADA DEL 911,AGRESION DIRECTA,ETIOLOGÍA A DETERMINAR,1,,,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,VIA PUBLICA,SI,NO,NO,
